user_id,chunk_id,scaledRankScore
00009567-9cfd-4310-a43f-ecf0944f6bbd,chunk1,7
00014938-83f5-4c99-9157-d8771774130c,chunk1,6
00019a5b-7797-44b0-8999-95dd057c7baf,chunk1,7
00029cc4-9421-47a7-a2fe-8cf626dc5d96,chunk1,4
0002f007-281f-4635-8c09-45d6afad828d,chunk1,4
00037306-10aa-4ee3-8e6c-ca1d61d9618b,chunk1,7
0003a496-aada-4287-b4e8-48e968158152,chunk1,5
00048cdb-d15d-4f04-b6c1-639b5b11f430,chunk1,6
00049766-6fb4-49ac-b46a-c27367374b59,chunk1,7
00060d20-4f3a-4c70-a967-5ea62dc2ea08,chunk1,5
000637b7-4ae4-4844-9c8d-db28a855abf7,chunk1,6
00064a92-8890-44af-a2a4-f7b8dc3270dd,chunk1,7
0006f748-48f1-4c38-8fc0-7ecdd335cc27,chunk1,5
00082602-88f7-4a9e-b1ad-e0ce9cdf4235,chunk1,3
000855ea-3a80-4fc7-9bfc-8107a48d86e1,chunk1,4
000886e5-ed42-4df7-b332-682c0b375953,chunk1,5
0008b0b0-dff9-443c-9942-cb8128478b09,chunk1,8
000af111-87cb-4b3e-a2f8-a27474549652,chunk1,6
000b5666-c700-4d64-b313-ddfcf2bf0d24,chunk1,8
000c63ee-e1e5-4e10-9010-faea4b37ca18,chunk1,8
000c64ed-2023-448b-8cb9-caa9828f3a44,chunk1,6
000e442d-3b3c-4159-b545-e59d32f3936d,chunk1,6
0010b651-5a4a-4fbe-8ecb-637ec520e81a,chunk1,5
00112a1a-cd99-4266-9bb2-4de356fa3c44,chunk1,5
00112c08-296f-404c-b9a9-f38138e89312,chunk1,5
001370ea-9de4-4ec0-baf2-2c6e2b40c23e,chunk1,5
00137761-915a-4218-b3c1-0c30f55a31b1,chunk1,5
001473e2-0a76-43ba-b0b8-5b3ec0bdc23a,chunk1,5
0014f294-12dd-4d4f-a8f7-9f67b3cadc29,chunk1,6
00160c21-ba08-4050-abb3-417e1cc4d9c9,chunk1,4
00167ab4-46f3-4ecc-8ee1-7923b3ba7ae2,chunk1,5
0017aeba-744f-41be-9378-c5148d8fab87,chunk1,3
0017edb5-e009-4966-a76c-35da588d25ce,chunk1,5
00180489-8640-482c-bfe7-d6d68d9484a0,chunk1,6
00180e52-e3ca-4625-9823-9ce45f14313b,chunk1,4
0019b73f-fac4-4965-a630-61e6f4cd095f,chunk1,4
001b0458-dd3c-43d0-ae0f-0c3daa8e965b,chunk1,6
001b8d65-fe24-4afa-a037-693b7bfca238,chunk1,2
001c0fad-dbf6-42c8-b20e-55e9c5aef161,chunk1,4
001c25c3-6a44-494e-8b18-89b10f08f3f3,chunk1,5
001c7ce7-4bf3-4b14-8386-6ad4c9a652ec,chunk1,5
001d2a21-16b0-45fe-8129-226188fb0a75,chunk1,7
001d3f15-5233-4c8d-8955-08cee3a6ca47,chunk1,8
001db36f-ccf0-463f-817f-fa508a47eaeb,chunk1,4
001e7e33-91d4-4c84-8dfe-702c6434c846,chunk1,7
001e8806-ddc6-4b1f-bdf9-dbc97387cad8,chunk1,7
001eb9a5-f9ee-4fb4-89ca-3d65b053d9fd,chunk1,7
001f2313-443c-41c0-b179-2757cc8de216,chunk1,3
0020b551-07dd-4771-9c3a-1a10c6cd3e84,chunk1,7
002154f8-f10d-4ba8-841e-252312b33314,chunk1,4
00216dfb-7b62-4d29-9cbb-26515747af0f,chunk1,5
0021a8de-a64d-40d6-83e9-7fc8524dceed,chunk1,6
0021e7a1-29d6-46c3-a5ca-9d24ebd00888,chunk1,3
0021f3d2-6a81-4058-b9e5-86e2ffcd7d4b,chunk1,6
0022e6b5-cffb-48e6-b0e0-506aacf50c15,chunk1,6
002354b7-81de-402f-82ce-e44334cd2fb0,chunk1,5
0023dd0a-0987-4cc3-bb40-07173e09eb3b,chunk1,5
00243fdd-59a3-469d-9a49-0139cfd75db3,chunk1,3
0024c796-4951-4e8d-81e0-acf8592d24a4,chunk1,7
002744c4-2d3e-4d28-b63d-f5fff652117e,chunk1,3
002797bd-24f5-4fb8-bcf6-a0d0a30e4331,chunk1,7
